camila,0,3,9
cami1,0,2,10
camila,5,3,7
camila,4,2,6
cami,2,0,3
cami1,1,0,4
cami1,1,0,3
cami8,0,0,17134
cami9,0,0,26682
cami10,0,0,19322
cami22,0,0,14714
cami11,0,0,1
camila23,3,2,5
camila,3,2,5
camila,1,0,5
cami,0,0,136
cami,0,0,136
camila,5,4,11
camila,5,4,6
cami1,5,4,3
camila,5,4,4
camila,3,1,25
carmen,3,1,23
carmen2,5,3,7
cami3,3,1,8
